from,to,x,y,z,qx,qy,qz,qw,translation_sigma,rotation_sigma,loop
71,72,0.67927645354359534,0.067544243237121826,0.33863181650984364,-0.032243922574755605,0.0051740379786461921,0.036506056608954771,0.99879971296494297,0.059050102235388334,0.016960022225808322,0
72,73,0.67546006086732158,0.012431741058849255,0.38468027438176922,-0.0054739859913529214,-0.0027692215397494523,0.014501117009235755,0.99987603456374274,0.059435466220145602,0.01562983933844812,0
73,74,0.67446290218656646,0.010113345430270648,0.37914295646581397,6.1643032278549116e-05,-0.004107852738879994,0.017045229581034379,0.99984627913221835,0.059344764595675434,0.015701369645864709,0
49,74,1.6018866607102973,-2.230246639739796,0.99794389543217443,-0.23272164536712761,-0.01155721132484433,0.40607590195077653,0.88363421645999718,0.14746432933092676,0.035000000000000003,1
74,75,0.5295517921610049,-0.076321324317629724,0.31182387204393258,0.061959767407879118,7.7574856609069606e-05,-0.11215030057599833,0.99175767770439593,0.055481524721078826,0.020139235708004109,0
75,76,0.0071452706241510455,-0.090116610232342076,0.0030001712832401495,0.076938502296449829,0.0094151413473022357,-0.13788512473008724,0.98741050954299547,0.042261230218236995,0.021353832324922373,0
76,77,0.0026609786615665598,-0.087197861820822897,-0.0023454758802667897,0.078558687275799635,-0.007041421146172175,-0.14016523668675901,0.98698158922357315,0.042181749465833779,0.021461394462930147,0
77,78,0.23557481144843173,-0.11837733946922269,0.1253009617052161,0.061717469226744412,-0.0041126635941039075,-0.11087413245962185,0.99190774104335622,0.047297645908657281,0.020092173344794125,0
78,79,0.0043754122061319123,-0.084828501730391359,-0.0050210208501537679,0.082139510599751511,0.011815859700137826,-0.1383379147395242,0.98690227864946189,0.042127238466324102,0.021481089625273276,0
79,80,0.65957931921407731,-0.014024208160392959,0.40102835997244668,0.026366370822070731,-0.011955856679974829,-0.043570802248323409,0.9986307912197373,0.059301316377575491,0.017093434574927829,0
80,81,0.67494899425887667,0.0019568938406537839,0.37225932692406349,-0.0017564153912360502,0.0023027772438738506,0.0075777183866144581,0.99996709466161526,0.059270070393724075,0.015324496009696764,0
81,82,0.67192940657916456,-0.01356364824116163,0.3724834112586306,0.0027668356048305052,-0.004494067898992894,-0.00095595060330667676,0.99998561696301369,0.059209649132049243,0.015214536310885209,0
82,83,0.6716140532585726,0.01565017481597053,0.36457048219240917,-0.0050114782550205218,0.0022389822298029159,0.0086320049525905485,0.99994767889863745,0.059108604099203994,0.015409180870006523,0
