id,stamp,odom_x,odom_y,odom_z,odom_qx,odom_qy,odom_qz,odom_qw,map_x,map_y,map_z,map_qx,map_qy,map_qz,map_qw
21,1789653904.3191128,6.1121202419881797,-3.414856364797203,-0.031426862720323669,0.23597288572040781,0.073165444411183014,-0.93434699535349608,0.25682544115145894,6.1205567461662271,-3.4167408225423039,-0.027438877348597866,0.23784852996521971,0.07365848424498142,-0.93342283590720609,0.25831049901052211
22,1789653905.0190494,6.053126730743104,-3.3116157530422718,-0.049612531948296561,0.26003543291964548,0.032417437060449854,-0.95868932381845007,0.11065922373259897,6.0616265964444054,-3.3140158194947107,-0.045217502750439627,0.26176198829088831,0.033041046788856991,-0.95801476484979109,0.11223484772073669
23,1789653908.3191981,5.3758450346817437,-3.2695984913815703,-0.042520492408426661,0.24831485652613999,-0.0058868549408641604,-0.96821159806067703,-0.029519118346387464,5.3847521799871263,-3.2749086611403659,-0.039667929260270955,0.24998329126880078,-0.0052574388914788236,-0.96783461356137179,-0.0278724633864782
24,1789653912.0190322,4.618336934813895,-3.2237011526363242,-0.01205598281326745,0.24293451156641033,-0.0098413251871172502,-0.96966320653754301,-0.025283142520811035,4.6275957435398283,-3.2323290990491267,-0.010849122534134946,0.24459095960026267,-0.0093592818650164045,-0.96929413461321112,-0.02359124687717868
25,1789653916.3186557,3.8495352866166281,-3.1995503951780049,0.0047802432111915425,0.24199439750244214,-0.0058488227514588492,-0.97023365050373533,-0.0071530608749410781,3.8592739919872674,-3.2115561699165878,0.0043386756250915056,0.24364424352714997,-0.0055420890312134789,-0.96983369723501422,-0.0054191837684025058
26,1789653924.1187549,3.0971669845802778,-3.1967505449812248,0.017652346307619513,0.24673045296710447,-0.0031070259386609001,-0.96905976036402852,0.0061327654029183507,3.1074654842870357,-3.2120610214332315,0.015606411933259423,0.24839319154196474,-0.0029587296017015183,-0.96862266075738745,0.0078872924391055511
27,1789653928.5181966,2.3426126034953971,-3.2075393211865166,0.032996101085852374,0.24653288863922121,0.0006249262690475885,-0.96905985225646274,0.012006124722056991,2.3535105635634284,-3.226130625031113,0.02931248752226492,0.24823084579403629,0.00061926798787599417,-0.96860287104343445,0.013767422051803835
28,1789653933.0189323,1.5817418510422687,-3.1787988819041413,0.046698680560158676,0.24016444264267542,-0.0072274096399934035,-0.97041539860048864,-0.023722546213984858,1.5926738636621436,-3.2003148334456628,0.040518774622218687,0.24192093061671846,-0.0071803127631412172,-0.97001895224057488,-0.022044018060731141
29,1789653935.4189734,0.80601573921073255,-3.1670909103965919,0.061471790738184241,0.24042457662346342,-0.0062589287523053356,-0.9705996034347999,-0.0096570481149967548,0.81703903512146059,-3.191482924022039,0.052714805317145189,0.24220448916098339,-0.006238148356293602,-0.97017180340990894,-0.0080462913020334145
30,1789653938.1189563,0.17170045109176096,-3.2221675808727213,0.04400697834536868,0.24717474603370837,0.035093205954870033,-0.95930860499681869,0.13190948486678558,0.18312193078177738,-3.2488708556467949,0.033167338983285749,0.24888551371945622,0.034855716862200389,-0.95866250977145073,0.13344389240923557
31,1789653938.7190826,0.20420379988955942,-3.2928178610320917,0.053294882938640785,0.24075734660813108,0.074417480817229542,-0.93453522946113088,0.25128040810783808,0.21571735928492181,-3.3191089557879567,0.042557145763004352,0.24233714188948738,0.074068014920609923,-0.93373242731422834,0.25284460249021368
32,1789653939.3189492,0.28726886602430091,-3.3538953913760174,0.060812501998629635,0.21495216637892534,0.10945601022964421,-0.88588399465560574,0.39626316508908804,0.29885387392305557,-3.3796185455597159,0.050342567468849242,0.21638984027979302,0.10893104660319888,-0.88490604385336591,0.39780743791613854
33,1789653939.9190755,0.33158356164050035,-3.3693582849240507,0.081915539983228286,0.20082217691149981,0.14092569199264809,-0.82389889691243134,0.51088257972177387,0.34306218152710294,-3.3946429393306867,0.071544776321492101,0.20213068277707796,0.14027905579870906,-0.82275679371646881,0.51238289586762231
34,1789653940.3191214,0.41648028436173756,-3.3922409220893517,0.043315231090842649,0.20174695452009431,0.16729348769447352,-0.74150535996742895,0.61764136556438087,0.42809231671727316,-3.4169517049156726,0.033185858699836042,0.20292325266391983,0.1665466402250447,-0.74017344327155665,0.61905382967361755
35,1789653941.9190633,0.4894319738684586,-3.6097908695600847,0.06741546123767278,0.163140176107296,0.19711575484260763,-0.6472181982171219,0.71808026433600414,0.50152707124870466,-3.6339131120709705,0.057422008810311828,0.16418356292103053,0.19620186803908146,-0.64576752329665588,0.71939758861135605
36,1789653942.4191272,0.56267579763614262,-3.5644229082571508,0.034967455158865041,0.14363500113905939,0.22649947100288137,-0.52555370670830481,0.80737864564783535,0.57467201354239539,-3.5879880509053739,0.025189684763991489,0.14452074635252768,0.22543833668729182,-0.52395727256962588,0.80855431898343999
37,1789653942.9191782,0.6078152071329469,-3.5156903008140805,0.056833691294573781,0.099867617822478674,0.24486989892452068,-0.40145778240450641,0.87686762995208556,0.61950501662667967,-3.5388223193206314,0.047182825255776627,0.10062248819348565,0.24362887436631342,-0.39978804238817517,0.87788929120258985
38,1789653943.5192101,0.65462563589718237,-3.4521785023099572,0.062971868519705876,0.059741103415031464,0.2546246239401484,-0.2582863403044327,0.92999218698761588,0.66601801277412254,-3.4748581817618689,0.053477977065237145,0.060358293629004418,0.25319908887936105,-0.25656160227112679,0.93081858706244613
39,1789653946.4184613,1.0893930685265913,-3.5950750580537236,0.051836974085425633,0.033824375444425001,0.25870488892205101,-0.13062613590303945,0.9564854963314563,1.1011572175155679,-3.6159033235179625,0.043630773185411108,0.034329294080736684,0.25713396612242873,-0.12888112379792507,0.9571276189530068
40,1789653950.3193529,1.739956719915835,-3.6074028113777774,0.046585803725369329,0.0051517709225574566,0.25737552634165245,-0.0079818014034426267,0.96626476109958737,1.7516349400490432,-3.6256229130282587,0.040568590009441928,0.0055582956533963453,0.25565547999592331,-0.0062740821608108554,0.96673161569823651
41,1789653953.7193666,2.484471716745984,-3.7110516628471122,0.027953069207735881,0.026039405469657058,0.26349834773797637,-0.055840410213357783,0.96269019870834482,2.4963794365985095,-3.7263370637827866,0.024300130529367015,0.026605247210369453,0.26185448184176802,-0.054113047388944714,0.96322176535963733
42,1789653956.4186943,3.2493419755161508,-3.8085646286906716,0.0089714545666389409,0.02634846973788588,0.26013041742549819,-0.05513215104950208,0.96363809077522611,3.2612299801688738,-3.8221102240940654,0.0083758605040593175,0.026906540337669281,0.25847810090152645,-0.053425285518560364,0.96416328923510564
